Filtro almacén,Filtro zona,Nº producto,Descripción producto,Cód. unidad medida,Cantidad,Cantidad (base),Cant. a traer disponible,Cód. ubicación,ItemDescription,Cant. en ubicación ajuste
BOD-CINER1,,COF0074,COFRE MAESTRE ADULTO,UNIDAD,3.00,3.,3.00,UBIA01,COFRE MAESTRE ADULTO,0.00
BOD-CINER1,,COF0075,COFRE MAESTRE VELA,UNIDAD,2.00,2.,2.00,UBIA01,COFRE MAESTRE VELA,0.00
BOD-CINER1,,IMS0024,ANTIPARRA OSCURA,UNIDAD,0.00,0.,0.00,UBIA01,ANTIPARRA OSCURA,0.00
BOD-CINER1,,IMS0025,ANTIPARRA CLARA,UNIDAD,0.00,0.,0.00,UBIA01,ANTIPARRA CLARA,0.00
BOD-CINER1,,IMS0030,GUANTE QUIRURGICO (100 UNI.),UNIDAD,0.00,0.,0.00,UBIA01,GUANTE QUIRURGICO (100 UNI.),0.00
BOD-CINER1,,IMS0035,GUANTE ASEO,UNIDAD,0.00,0.,0.00,UBIA01,GUANTE ASEO,0.00
BOD-CINER1,,IMS0053,GUANTE CABRITILLA CORTO,UNIDAD,0.00,0.,0.00,UBIA01,GUANTE CABRITILLA CORTO,0.00
BOD-CINER1,,IMS0055,GUANTE L-100,UNIDAD,0.00,0.,0.00,UBIA01,GUANTE L-100,0.00
BOD-CINER1,,IMS0082,MASCARILLA DESECHABLE X UNI,UNIDAD,0.00,0.,0.00,UBIA01,MASCARILLA DESECHABLE X UNI,0.00
BOD-CINER1,,IMS0087,COLETO SOLDADOR DE CUERO,UNIDAD,0.00,0.,0.00,UBIA01,COLETO SOLDADOR DE CUERO,0.00
BOD-CINER1,,IMS0089,GUANTE ANTICORTE DELTAPLUS VENICUTD02,UNIDAD,0.00,0.,0.00,UBIA01,GUANTE ANTICORTE DELTAPLUS VENICUTD02,0.00
BOD-CINER1,,MAT0008,BANDEJAS DE CARTON PARA PROCEDIMIENTO,UNIDAD,0.00,0.,0.00,UBIA01,BANDEJAS DE CARTON PARA PROCEDIMIENTO,0.00
BOD-CINER1,,MAT0032,CIRIO PASCUAL 7CM X 90CM ALTO,UNIDAD,0.00,0.,0.00,UBIA01,CIRIO PASCUAL 7CM X 90CM ALTO,0.00
BOD-CINER1,,MAT0037,CINTA BROTHER TZE-S231 12 MM,UNIDAD,0.00,0.,0.00,UBIA01,CINTA BROTHER TZE-S231 12 MM,0.00
BOD-CINER1,,MAT0044,CARBON REAGENT FACTIVATE 20,UNIDAD,20.00,20.,20.00,UBIA01,CARBON REAGENT FACTIVATE 20,0.00
BOD-CINER1,,MAT0046,"BOLSA CON LOGO B1 (8,5 X 19 cm)",UNIDAD,0.00,0.,0.00,UBIA01,"BOLSA CON LOGO B1 (8,5 X 19 cm)",0.00
BOD-CINER1,,MAT0047,BOLSA CON LOGO B2 ( 22 x 21 x 33 cm altura),UNIDAD,0.00,0.,0.00,UBIA01,BOLSA CON LOGO B2 ( 22 x 21 x 33 cm altura),0.00
BOD-CINER1,,MAT0048,BOLSA CON LOGO B3 ( 26 X 36 cm altura),UNIDAD,0.00,0.,0.00,UBIA01,BOLSA CON LOGO B3 ( 26 X 36 cm altura),0.00
BOD-CINER1,,MAT0049,BOLSA CON LOGO B4 (28 x 22 x 34 cm x altura),UNIDAD,0.00,0.,0.00,UBIA01,BOLSA CON LOGO B4 (28 x 22 x 34 cm x altura),0.00
BOD-CINER1,,MAT0050,BOLSA CON LOGO B5 (28 x 23 x 34 cm altura),UNIDAD,0.00,0.,0.00,UBIA01,BOLSA CON LOGO B5 (28 x 23 x 34 cm altura),0.00
BOD-CINER1,,MCO0014,SILICONA HENKEL ELASTOSELLO 1100 TRANSPARENTE TUBO 300,UNIDAD,0.00,0.,0.00,UBIA01,SILICONA HENKEL ELASTOSELLO 1100 TRANSPARENTE TUBO 300,0.00
BOD-CINER1,,MCO0018,WD-40,UNIDAD,0.00,0.,0.00,UBIA01,WD-40,0.00
BOD-CINER1,,MCO0035,LOCTITE 495 SUPER BONDER,UNIDAD,0.00,0.,0.00,UBIA01,LOCTITE 495 SUPER BONDER,0.00
BOD-CINER1,,MCOHOJ0001,TIJERA HOJALATERO M/FORRADO,UNIDAD,0.00,0.,0.00,UBIA01,TIJERA HOJALATERO M/FORRADO,0.00
BOD-CINER1,,PUL0002,PULSERA DE CUENTAS NEGRAS,UNIDAD,2.00,2.,2.00,UBIA01,PULSERA DE CUENTAS NEGRAS,0.00
BOD-CINER1,,PUL0006,PULSERA ACERO INOX CRUZ,UNIDAD,2.00,2.,2.00,UBIA01,PULSERA ACERO INOX CRUZ,0.00
BOD-CINER1,,REL0006,RELICARIO CORAZON AZUL,UNIDAD,4.00,4.,4.00,UBIA01,RELICARIO CORAZON AZUL,0.00
BOD-CINER1,,REL0007,RELICARIO CORAZON PLATA,UNIDAD,3.00,3.,3.00,UBIA01,RELICARIO CORAZON PLATA,0.00
BOD-CINER1,,REL0014,RELICARIO CORAZON LARGO C04 (DESCONTINUADO),UNIDAD,37.00,37.,37.00,UBIA01,RELICARIO CORAZON LARGO C04 (DESCONTINUADO),0.00
